artist_name,track_name,youtube_url
"Amy Beach","4 Sketches, Op. 15: No. 3, Dreaming",
"Antonio Vivaldi","12 Concertos, Op. 3 - ""L'estro Armonico"" Concerto No. 10 In B Minor For 4 Violins And Cello: Allegro",
"Antonio Vivaldi","Cello Concerto in B Minor, RV424: 1. Allegro non molto",
"Antonio Vivaldi","Cello Concerto in B Minor, RV424: 1. Allegro non molto",
"Antonio Vivaldi","Mandolin Concerto in C, R.425 - Arr. for Guitar, Strings and Continuo by Pepe Romero (b.1944): 2. Largo",
"Antonio Vivaldi","Vivaldi: Ercole sul Termodonte, RV 710, Act 1: Aria. ""Con aspetto lusinghiero"" (Antiope)",
"Antonio Vivaldi","Vivaldi: Ercole sul Termodonte, RV 710, Act 2: Aria. ""Bel piacer ch'è la vendetta"" (Antiope)",
"Arcangelo Corelli","Concerto I in D Major: V.Largo - Remastered",
"Felix Mendelssohn","A Midsummer Night's Dream, Incidental Music, Op. 61: II. Scherzo",
"Felix Mendelssohn","A Midsummer Night's Dream, Incidental Music, Op. 61: IV. Intermezzo",
"Felix Mendelssohn","A Midsummer Night's Dream, Incidental Music, Op. 61: No. 1, Scherzo",
"Felix Mendelssohn","Symphony No. 3 In A Minor, Op. 56 Scotch: Adagio Cantabile",
"Franz Liszt","Erlkönig, S. 558 (after Schubert, D. 328)",
"Frédéric Chopin","Barcarolle in F sharp, Op. 60",
"Glenn Gould, Johann Sebastian Bach","Sinfonia No. 9 in F Minor, BWV 795",
"Johann Sebastian Bach","Bach, JS: Es wartet alles auf dich, BWV 187: No. 4, Aria. ""Darum sollt ihr nicht sorgen""",
"Johann Sebastian Bach","Bach, JS: Harpsichord Concerto No. 5 in F Minor, BWV 1056: II. Largo",
"Johann Sebastian Bach","Es wartet alles auf dich, BWV 187: Aria: Darum sollt ihr nicht sorgen (Bass)",
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Var. 21, Canone alla settima. à 1 Clav.",
"Johann Sebastian Bach","Orchestral Suite No. 3 in D Major, BWV 1068: Air ""on the G String""",
"Johann Sebastian Bach","Orchestral Suite No. 3 in D Major, BWV 1068: Overture (Suite) No. 3 in D Major, BWV 1068: II. Air, ""Air on a G String"" (arr. V. Hoh for guitar)",
"Johann Sebastian Bach","Overture in the French Style in B Minor, BWV 831: VIII. Echo",
"Johann Sebastian Bach","Weihnachts-Oratorium, BWV 248, Pt. 1: IV. Aria. Bereite dich, Zion (Alto)",
"Mamdouh El Gbaly","Ud Solo - An improvisation",
"Maria Callas, Choeurs René Duclos, Choeurs D'Enfants Jean Pesneaud, Jane Berbie, Nadine Sautereau","""Les tringles des sistres tintaient"" (Carmen, Frasquita, Mercédès) (1987 Remaster)",
"Niccolò Paganini","24 Caprices for Violin, Op. 1, MS. 25: No. 2 in B Minor",
"Nils Henrik Asheim","Maria Hun Er En Jomfru Ren",
"Pyotr Ilyich Tchaikovsky","The Seasons, Op. 37a: VI. June: Barcarole",
"Wolfgang Amadeus Mozart","Adagio in B Minor, K. 540",
"Wolfgang Amadeus Mozart","Piano Concerto No. 20 in D Minor, K. 466: I. Allegro (Cadenza by Beethoven, WoO 58,1)",
