"track_name","artist_name"
"…baby one more time","The Marías"
"2 soon","keshi"
"3 Song","Delorians"
"5 STAR HOTEL","MC TYSON"
"21","Gracie Abrams"
"24-25","iri"
"27","Majik"
"1035","Tiësto & Tate McRae"
"A Place To Lie","Art School Girlfriend"
"affection","BETWEEN FRIENDS"
"Afraid","Xavier Omär"
"Afternoon","TENDER"
"Alaska","Maggie Rogers"
"Alibi (with Pabllo Vittar & Yseult)","Sevdaliza, Pabllo Vittar, Yseult"
"All About You","Hablot Brown"
"All In My Mind","Isaac Gracie"
"All Night Long","ives."
"All of Me","John Legend"
"All over You","LEISURE"
"All the Lines","Fleurie"
"All The Way Live (Spider-Man Across the Spider-Verse)","Metro Boomin, Future, Lil Uzi Vert"
"All We Do","Oh Wonder"
"Along the Wall","Leigh Nash"
"Alugalug Cat","The Kiffness"
"Amen","RITUAL"
"And You Evade HimBorn in the Blood","Joshua Burnside"
"Animals x Starboy","TommyMuzzic"
"Antidote","Susan H"
"Aphrodite","RINI"
"Apologize (feat. OneRepublic)","Timbaland"
"Around The Sun","Poolside & Amo Amo"
"Arrows","She Her Her Hers"
"Artifice","SOHN"
"As It Was","PREP"
"Baby Powder","Jenevieve"
"BABYDOLL (Explicit)","Ari Abdul"
"Back In Love","LEISURE"
"Back to You","The Bad Dreamers & Timecop1983"
"Backspace (feat. Marvin)","Motte"
"Bad Dreams","Teddy Swims"
"Bad Things","Meiko"
"Bad Tourist","Madelyn Darling"
"Barcelona","Henry Green"
"Belong","TENDER"
"Bending Back","Art School Girlfriend"
"better for you","siopaolo"
"Better Place","spring gang"
"BIRDS OF A FEATHER","Billie Eilish"
"Bite","Charlie Cunningham"
"Bitter (feat. Trevor Daniel)","FLETCHER, Kito"
"Bitter Pill","Christian Kuria"
"Black Mambo","Glass Animals"
"Black Sheep","OmenXIII"
"Blame Me","Two Feet"
"Bloodflows","SOHN"
"Blue","Willow Beats"
"Bones of Man","Equador"
"Bottle Tops","RITUAL"
"Breathe","Télépopmusik"
"Broken Glass","Stoa"
"Bye Bye Monica","Brian Cheng"
"Call The Shaman","Velvet Moon"
"Callin' Ur Phone","ives."
"Camberwell","#1 Dads"
"Catch the Wave","Velvet Moon"
"Caves","Haux"
"Cheapest Flight","PREP"
"Chemical Sweat","Elliot Root"
"Chemtrails Over The Country Club","Lana Del Rey"
"Cities","Two Feet & Toby Mai"
"Closer","Majik"
"Cocoon","Baby Seal"
"Colour Sum","Chelsea Jade"
"Come Back To Me","Art School Girlfriend"
"Complication","Aquilo"
"Compromise","Tesla Boy"
"Connected","Islandinside"
"Conrad","SOHN"
"Counting Stars","OneRepublic"
"Cry Me A River","Justin Timberlake"
