title,author,read
A Christmas Carol,Charles Dickens,Several Narrators
A Cup Of Tea,Katherine Mansfield,Julie VW
A Cure For The Blues,Mark Twain,John Greenman
A Dog's Tale,Mark Twain,John Greenman
A Horseman In The Sky,Ambrose Bierce,Phil Schempf
A Lodging For The Night,Robert Louis Stevenson,Lynne Thompson
A Mão e a Luva,Joaquim Maria Machado de Assis,LibriVox Narrator 'Leni'
A Retrieved Reformation,O. Henry,Winston Tharp
Alonzo Fitz And Other Stories,Mark Twain,John Greenman
Among The Corn Rows,Hamlin Garland,Leonard Wilson
An Occurrence At Owl Creek Bridge,Ambrose Bierce,Elise Sauer
"Bartleby, The Scrivener - A Story Of Wall Street",Herman Melville,Bob Neufeld
Benediction,F. Scott Fitzgerald,Laurie Anne Walden
Berenice,Edgar Allan Poe,Phil Chenevert
Bernice Bobs Her Hair,F. Scott Fitzgerald,Laurie Anne Walden
Bertie's Christmas Eve,Saki,Ruth Golding
Bliss,Katherine Mansfield,Julie VW
Clocks,Jerome K. Jerome,Carl Vonnoh
Come realizzare audiolibri in Home Studio - Prefazione (Omaggio),Maurizio Falghera,Maurizio Falghera
Confession,Jack London,Sandra
Confessions Of A Humorist,O. Henry,William Coon
Cost Of Kindness,Jerome K. Jerome,Betsie Bush
Crooken Sands,Bram Stoker,Cate Mackenzie
Der abenteuerliche Simplicissimus,Hans Jakob Christoffel von Grimmelshausen,Several Readers
"Divina Commedia, Inferno",Dante Alighieri,Lino Pertile
"Divina Commedia, Paradiso",Dante Alighieri,Lino Pertile
"Divina Commedia, Purgatorio",Dante Alighieri,Lino Pertile
Does The Race Of Man Love A Lord,Mark Twain,John Greenman
Dr. Heidegger's Experiment,Nathaniel Hawthorne,S. Houghton
Dracula's Guest,Bram Stoker,Robert White
Duplicity Of Hargraves,O. Henry,William Coon
El Capitán Veneno,Pedro Antonio de Alarcón,LibriVox Narrator 'Tux'
Eve's Diary,Mark Twain,John Greenman
Five Beloved Stories - A Cosmopolite In A Cafe,O. Henry,Phil Chenevert
Five Beloved Stories - Mammon And The Archer,O. Henry,Phil Chenevert
Five Beloved Stories - The Cop And The Anthem,O. Henry,Phil Chenevert
Five Beloved Stories - The Gift Of The Magi,O. Henry,Phil Chenevert
Flappers And Philosophers - Benediction,F. Scott Fitzgerald,mb
Flappers And Philosophers - Bernice Bobs Her Hair,F. Scott Fitzgerald,mb
Flappers And Philosophers - Dalyrimple Goes Wrong,F. Scott Fitzgerald,mb
Flappers And Philosophers - Head And Shoulders,F. Scott Fitzgerald,mb
Flappers And Philosophers - The Cut-Glass Bowl,F. Scott Fitzgerald,mb
Flappers And Philosophers - The Four Fists,F. Scott Fitzgerald,mb
Flappers And Philosophers - The Ice Palace,F. Scott Fitzgerald,mb
Flappers And Philosophers - The Offshore Pirate,F. Scott Fitzgerald,mb
Forewarned,Saki,Bellona Times
Göteborgsflickor och andra historier,Sigge Strömberg,Lars Rolander
Italian With Grammar,Mark Twain,John Greenman
Italian Without A Master,Mark Twain,John Greenman
Just So Stories,Rudyard Kipling,Kara Shallenberg
Kew Gardens,Virginia Woolf,Elizabeth Klett
LETTURA+ASCOLTO. Introduzione - La doppia esposizione (Omaggio),Maurizio Falghera,Maurizio Falghera
La Volpe (Omaggio),Grazia Deledda,Maria Grazia Mandruzzato
Le Tour du monde en quatre-vingts jours,Jules Verne,Damien Genevois
Lost In The Snow,Mark Twain,John Greenman
Love And Friendship,Jane Austen,Cori Samuel
Love Of Life,Jack London,Sandra
Monachomachia czyli wojna mnichów,Ignacy Krasicki,Piotr Nater
My Platonic Sweetheart,Mark Twain,John Greenman
Psychology,Katherine Mansfield,Julie VW
"Reginald Blake, Financier And Cad",Jerome K. Jerome,John de Forest
Rip Van Winkle,Washington Irving,Alex Wella
Seven H.P. Lovecraft Stories,H.P. Lovecraft,Phil Chenevert
Shoes And Stockings - A Country Christmas,Louisa M. Alcott,Carolyn Frances
Shoes And Stockings - Aunt Kipp,Louisa M. Alcott,Carolyn Frances
Shoes And Stockings - Kitty's Class Day,Louisa M. Alcott,Carolyn Frances
Shoes And Stockings - My Red Cap,Louisa M. Alcott,Carolyn Frances
Shoes And Stockings - Nelly's Hospital,Louisa M. Alcott,Carolyn Frances
Shoes And Stockings - Scarlet Stockings,Louisa M. Alcott,Carolyn Frances
"Shoes and Stockings - A Modern Cinderella Or, The Little Old Shoe",Louisa M. Alcott,Carolyn Frances
Sir Edmund Orme,Henry James,Nicholas Clifford
Sonnets,William Shakespeare,Chris Hughes
Tales from Shakespeare,Charles and Mary Lamb,Karen Savage
Tarquin Of Cheapside,F. Scott Fitzgerald,Gregg Margarit
That Dead Men Rise Up Never,Jack London,Dorlene Kaplan
"The $30,000 Bequest",Mark Twain,John Greenman
The Adventures Of Sherlock Holmes - Adventure I - A Scandal In Bohemia,Sir Arthur Conan Doyle,Mark F. Smith
The Adventures Of Sherlock Holmes - Adventure II - The Red-Headed League,Sir Arthur Conan Doyle,Mark F. Smith
